Repository,Owner,Stars,Forks,Size (KB),Files Found,Nodes Extracted,Valid Nodes,Extraction Success,Extraction Failed,Success Rate (%),Validity Rate (%),Quality Score
free-v2ray-public-list,ebrasha,871,121,15422,282,102384,0,73,0,100.0,0.0,75.0
ShadowSocks-Share,zc-zh-001,394,805,42020,1,0,0,1,0,100.0,0,75.0
ShadowSocksShare,the0demiurge,3003,1000,4571,8,0,0,2,0,100.0,0,75.0
streisand,StreisandEffect,23477,1959,4116,42,0,0,13,0,100.0,0,75.0
overtls,ShadowsocksR-Live,446,63,406,3,0,0,3,0,100.0,0,75.0
Free-servers,Pawdroid,17634,1153,78,33,90,0,11,0,100.0,0.0,75.0
airport-free,xiaoji235,503,57,33901,16,2235,0,2,0,100.0,0.0,75.0
awesome-vpn,awesome-vpn,5464,539,2136,7,0,0,2,0,100.0,0,75.0
CloudflareIP,gslege,435,226,12885,15,20,0,7,0,100.0,0.0,75.0
warp-config-generator-vercel,nellimonix,900,37,2216,34,0,0,7,0,100.0,0,69.8
trojan-rs,lazytiger,225,37,17899,23,0,0,4,0,100.0,0,69.8
free-proxy-list,gfpcom,331,45,36884,14,0,0,4,1,80.0,0,68.0
china-dictatroship-7,cirosantilli,341,37,17476,17,0,0,5,1,83.3,0,65.63
cihna-dictattorshrip-8,mRFWq7LwNPZjaVv5v6eo,198,23,12715,17,0,0,3,0,100.0,0,64.2
patina,devswha,113,21,12567,40,0,0,8,0,100.0,0,63.4
cn-news,hello-world-1989,430,18,1655,6,0,0,1,0,100.0,0,62.2
free-node,HakurouKen,159,17,25309,5,0,0,2,0,100.0,0,61.8
v2rayfree,clashv2ray-hub,252,6,2601,1,19,0,1,0,100.0,0.0,57.4
panda-vpn-pro,DiningFactory,11028,311,2290,0,0,0,0,0,0,0,50.0
free-proxy,crossxx-labs,1458,71,1696,0,0,0,0,0,0,0,50.0
free-ssr-ss-v2ray-vpn-clash,xrayfree,1614,76,1415,0,0,0,0,0,0,0,50.0
.github,gege-circle,1899,152,1706,0,0,0,0,0,0,0,50.0
.config,zszszszsz,336,99,4,0,0,0,0,0,0,0,50.0
Kumpulan-Script-Termux,landy22granatt,702,133,26,0,0,0,0,0,0,0,50.0
x-ui-pro,GFW4Fun,1257,350,4361,5,0,0,0,0,0,0,50.0
FreeProxies,bq2015,609,156,8493,0,0,0,0,0,0,0,50.0
v2ray,free18,4715,222,17211,4,0,0,0,0,0,0,50.0
fanqiang,Alvin9999-newpac,1998,244,6755,3,0,0,0,0,0,0,50.0
telegram-v2ray-configs-collector,mohamadfg-dev,80,7,49765,192,520,0,49,9,84.5,0.0,47.92
free-vpn-subscriptions,Au1rxx,62,8,31418,25,153,0,6,0,100.0,0.0,46.8
cfip,HandsomeMJZ,136,32,6993,2,0,0,0,0,0,0,42.8
v2rayfree,v2raynnodes,41,6,4224,19,40,0,3,0,100.0,0.0,39.7
tolinkshare2.github.io,tolinkshare2,393,16,5416,0,0,0,0,0,0,0,36.4
free-vpn-subscribe,zengfr,30,4,2762,74,9166,0,16,0,100.0,0.0,35.6
b64-url-editor,phlinhng,19,8,6376,4,0,0,1,0,100.0,0,33.9
